Location,2021-01-24,2021-01-25,2021-01-26,2021-01-27,2021-01-28,2021-01-29,2021-01-30
SeniorCare EMS Event,0,0,0,0,0,0,0
Midwood/InstaCare Ambulance Service Event,0,0,0,0,0,0,0
Bushwick Educational Campus - First Dose,0,0,0,0,0,0,0
Hillcrest High School - First Dose,0,0,0,0,0,0,0
South Bronx Educational Campus - First Dose,0,0,0,0,0,0,0
Bushwick Educational Campus - Jan 11-15 First Dose,0,0,0,0,0,0,0
Hillcrest High School - Jan 11-15 First Dose,0,0,0,0,0,0,0
South Bronx Educational Campus - Jan 11-15 First Dose,0,0,0,0,0,0,0
Susan Wagner High School,37,137,12,12,12,12,12
John Adams High School,35,118,12,12,12,12,12
Bushwick Educational Campus - Second Dose,0,0,0,0,0,0,0
South Bronx Educational Campus - Second Dose,0,0,0,0,0,0,0
Hillcrest High School - Second Dose,0,0,0,0,0,0,0
Susan Wagner High School - Second Dose,0,0,0,0,0,0,0
John Adams High School - Second Dose,0,0,0,0,0,0,0
Bushwick Educational Campus - Jan 16-22 First Dose,0,0,0,0,0,0,0
Hillcrest High School - Jan 16-22 First Dose,0,0,0,0,0,0,0
South Bronx Educational Campus - Jan 16-22 First Dose,0,0,0,0,0,0,0
Abraham Lincoln High School - First Dose,0,0,0,0,0,0,0
Adlai E. Stevenson High School - First Dose,0,0,0,0,0,0,0
August Martin High School - First Dose,0,0,0,0,0,0,0
Aviation High School - First Dose,0,0,0,0,0,0,0
Beach Channel Educational Campus - First Dose,0,0,0,0,0,0,0
Canarsie High School - First Dose,0,0,0,0,0,0,0
George Westinghouse Vocational HS - First Dose,0,0,0,0,0,0,0
Marta Valle High School - First Dose,0,0,0,0,0,0,0
Port Richmond High School - First Dose,0,0,0,0,0,0,0
Staten Island Technical High School - First Dose,0,0,0,0,0,0,0
Wadleigh Campus/I.S. 88 - First Dose,0,0,0,0,0,0,0
Walton Educational School - First Dose,0,0,0,0,0,0,0
Abraham Lincoln Hill School - Second Dose,0,0,0,0,0,0,0
Adlai E Stevenson High School - Second Dose,0,0,0,0,0,0,0
August Martin High School - Second Dose,0,0,0,0,0,0,0
Aviation High School - Second Dose,0,0,0,0,0,0,0
Beach Channel Educational Campus - Second Dose,0,0,0,0,0,0,0
Canarsie High School - Second Dose,0,0,0,0,0,0,0
George Westinghouse Vocational High School - Second Dose,0,0,0,0,0,0,0
Marta Valle High School -  Second Dose,0,0,0,0,0,0,0
Port Richmond High School - Second Dose,0,0,0,0,0,0,0
Staten Island Technical High School - Second Dose,0,0,0,0,0,0,0
Wadleigh Campus I.s. 88 - Second Dose,0,0,0,0,0,0,0
Walton Educational School - Second Dose,0,0,0,0,0,0,0
Senior Care EMS - REMSCO - First Dose - Closed POD Event,0,0,0,0,0,0,0
